Recipient,DI_dest_orgtype,DI_dest_ngotype,DI_dest_deliverychannel,id
American Near East Refugee Aid,NGOs,International NGO,NGOs and CSOs,164
American Red Cross,red cross,,RCRC,105
American Refugee Committee,NGOs,International NGO,NGOs and CSOs,NA
American Refugee Committee (Alight),NGOs,International NGO,NGOs and CSOs,3029
American Rescue Committee,NGOs,,NGOs and CSOs,NA
American University of Nigeria,academia/think/research,,NGOs and CSOs,8119
Americares,NGOs,International NGO,NGOs and CSOs,4908
AMICA e.V,NGOs,,NGOs and CSOs,2302
Amica hilft in Bosnien e.V.,NGOs,,NGOs and CSOs,3002
Amis des Personnes en Détresse,NGOs,Local NGO,NGOs and CSOs,1376
AMMAN CENTER HUMAN RIGHTS STUDIES,academia/think/research,,NGOs and CSOs,5192
Amnesty International Norway,NGOs,,NGOs and CSOs,1318
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs,,NGOs and CSOs,151
AMURT (Ananda Marga Universal Relief Team) (USA),NGOs,,NGOs and CSOs,8533
AMURT International,NGOs,,NGOs and CSOs,4679
Ana Aqra Association,NGOs,National NGO,NGOs and CSOs,8668
Andean Development Corporation,Other multi,,Other multi,4046
Andre Foods South Sudan,NGOs,Southern International NGO,NGOs and CSOs,9198
ANGLO AMERICAN PLC,private sector corporations,,Other,233
Angola,National government,,Public Sector,4388
Angola Red Cross,red cross,,RCRC,4707
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs,National NGO,NGOs and CSOs,600
Anna Lininger,private individual/organisation,,NGOs and CSOs,3534
Antares Foundation,foundations,,NGOs and CSOs,481
Antenna Technologies Grands Lacs (ATGL),NGOs,,NGOs and CSOs,4090
Antigua and Barbuda,National government,,Public Sector,1430
Antigua and Barbuda Red Cross Society,red cross,,RCRC,2144
APEC (Association pour la protection de l'enfance  au Congo),other,,Other,3335
APEDE,other,,Other,3735
APHEDA,NGOs,,NGOs and CSOs,4721
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs,,NGOs and CSOs,426
Apostolic Christian World Relief,NGOs,,NGOs and CSOs,5818
Applied Research Institute Jerusalem,academia/think/research,,NGOs and CSOs,3446
APPRONA,other,,Other,3398
Appui aux Femmes Démunies et Enfants Marginalisés,NGOs,,NGOs and CSOs,4253
Appui aux Initiatives de Bien Etre Familial,other,,Other,4218
AQUADEV,NGOs,,NGOs and CSOs,2046
Arab Agronomist Association,NGOs,National NGO,NGOs and CSOs,4571
Arab Fund for Human Rights,NGOs,,NGOs and CSOs,6609
Arab Gulf Programme for United Nations Development Organizations,UN Multi,,UN Multi,4831
Arab Medical Association,private individual/organisation,,NGOs and CSOs,4204
Arab Medical Equipment and Services Organization,other,,Other,5862
Arab Network for Tolerance,NGOs,,NGOs and CSOs,6904
Arab Organization for Human Rights,NGOs,International NGO,NGOs and CSOs,11013
Arab Physicians Federation,private individual/organisation,,NGOs and CSOs,5593
Arab Red Crescent and Red Cross Organization,red cross,,RCRC,484
Arab Reporters for Investigative Journalism,NGOs,Southern International NGO,NGOs and CSOs,505
Arab Women Association,NGOs,,NGOs and CSOs,NA
Arab Women Organization,,,,1141
Aragti Relief and Development Organization,NGOs,,NGOs and CSOs,4179
Arakan Rohingya Union,NGOs,Southern International NGO,NGOs and CSOs,8937
Aramex International,private sector corporations,,Other,5199
Arbeiter-Samariter-Bund Deutschland e.V,NGOs,International NGO,NGOs and CSOs,2920
Arbeiterwohlfahrt Bayern,other,,Other,4310
Arcenciel,NGOs,,NGOs and CSOs,3134
Archdiocese of Kisumu,private individual/organisation,,NGOs and CSOs,1739
Arche de l'Alliance,private individual/organisation,,NGOs and CSOs,3402
Arche Nova E.V. - Initiative for People in Need,NGOs,International NGO,NGOs and CSOs,2513
Architectes de l'urgence,foundations,,NGOs and CSOs,2805
ARCS ARCI Cultura e Sviluppo,NGOs,International NGO,NGOs and CSOs,7969
ARESA,private sector corporations,,Other,NA
ARESA GmbH,private sector corporations,,Other,2096
Argentina,National government,,Public Sector,4835
Arizona State University,academia/think/research,,NGOs and CSOs,9462
Armadilla S.c.s. Onlus,NGOs,International NGO,NGOs and CSOs,533
ArmandoAid,NGOs,International NGO,NGOs and CSOs,8730
Armenia,National government,,Public Sector,2969
Armenian Red Cross Society,red cross,,RCRC,3081
Armenian Relief Society,NGOs,,NGOs and CSOs,3909
Armée du salut,NGOs,,NGOs and CSOs,3334
Armée du Salut Kalemie,NGOs,Internationally affiliated NGO,NGOs and CSOs,6888
Arno Kobamaron CBO,other,,Other,4995
Arquitectura Sin Fronteras,NGOs,International NGO,NGOs and CSOs,12101
ARSIS Association for the Social Support of Youth,NGOs,National NGO,NGOs and CSOs,6963
Artemisszió Foundation,NGOs,,NGOs and CSOs,8062
ARTICLE 19,NGOs,,NGOs and CSOs,5216
Article 36,academia/think/research,,NGOs and CSOs,6114
Arts for Peace,NGOs,,NGOs and CSOs,230
AS-SALAM EDUCATIONAL CENTRE,NGOs,Local NGO,NGOs and CSOs,11088
Asal Rural Development Organization,Other,,Other,49
Asamblea De Cooperacion Por La Paz,NGOs,International NGO,NGOs and CSOs,3385
ASASE,NGOs,,NGOs and CSOs,4663
ASCHIANA,NGOs,,NGOs and CSOs,NA
Aschiana Foundation,foundations,,Other,1407
ASEAN Regional Mine Action Center,NGOs,Southern International NGO,NGOs and CSOs,12059
ASEP,other,,Other,NA
Asia Humanitarian Organization,NGOs,National NGO,NGOs and CSOs,394
ASIA Onlus,NGOs,,NGOs and CSOs,3624
Asian Development Bank,Other multi,,Other multi,3243
Asian Disaster Preparedness Centre,NGOs,Southern International NGO,NGOs and CSOs,14
Asian Harm Reduction Network,NGOs,Southern International NGO,NGOs and CSOs,10411
Asian Network for Free Election,private individual/organisation,,NGOs and CSOs,597
Asmae Soeur Emmanuelle,private individual/organisation,,NGOs and CSOs,2408
Asociacion Ben por la Infancia,NGOs,,NGOs and CSOs,6189
Asociacion Civil Esperanza Activa,NGOs,,,11209
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs,International NGO,NGOs and CSOs,NA
asociacion para la cooperacion con el sur,NGOs,,NGOs and CSOs,4661
Asociación Civil Acción Campesina,NGOs,Local NGO,NGOs and CSOs,10236
Asociación Civil de Planificación Familiar,NGOs,Local NGO,NGOs and CSOs,10185
Asociación Civil Fe y Alegría Venezuela,NGOs,Southern International NGO,NGOs and CSOs,11025
Asociación Civil Tinta Violeta,NGOs,Local/National NGO,NGOs and CSOs,10243
Asociación de Trabajadores y Tecnicos Sin Fronteras,NGOs,International NGO,NGOs and CSOs,NA
Asociación de Trabajadores y Técnicos Sin Fronteras,NGOs,International NGO,NGOs and CSOs,422
Asociación ONGD Cives Mundi,NGOs,,NGOs and CSOs,3633
Asociación para el Desarrollo de la Educación Integral y Comunitaria,NGOs,Southern International NGO,NGOs and CSOs,10234
Asociación Salvadoreña de Ayuda Humanitaria,NGOs,,NGOs and CSOs,982
Asociación SHARE Guatemala,NGOs,National NGO,NGOs and CSOs,5162
Asociación Venezolana de Educación Católica,NGOs,National NGO,NGOs and CSOs,10232
ASSABIL,NGOs,,NGOs and CSOs,7274
Assanabil Foundation,NGOs,National NGO,NGOs and CSOs,11089
Assessment Capacities Project,academia/think/research,,NGOs and CSOs,NA
Assessment Capacities Project (ACAPS),,,,2680
ASSIST,Undefined,,Other,840
Assistance Mission Africa,NGOs,Southern International NGO,NGOs and CSOs,NA
Assistance Mission for Africa,,,,10573
Assisting Marsh Arabs and Refugees,NGOs,,NGOs and CSOs,1282
Assistência Médica Internacional (AMI),NGOs,,NGOs and CSOs,4286
Associate in Community Development,NGOs,National NGO,NGOs and CSOs,741
Associates in Rural Development,private sector corporations,,Other,5672
Association Agropastorale de NDA,NGOs,,NGOs and CSOs,5817
Association Arbre de Vie,Undefined,,Other,873
Association Centrafricaine pour le Développement Economique et Social,NGOs,,NGOs and CSOs,6157
Association d'aide Á  la femme et de la communication,NGOs,,,NA
Association d'aide í  la femme et de la communication,Undefined,,Other,NA
Association d'appui pour le service humanitaire,NGOs,,,7281
Association de Lutte Contre le Sida,private individual/organisation,,NGOs and CSOs,2785
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",other,,Other,1795
Association des Cadres Musulmans de Centrafrique,NGOs,,NGOs and CSOs,6704
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs,Local/National NGO,NGOs and CSOs,1253
ASSOCIATION DES JEUNES ISLAMIQUES,NGOs,National NGO,NGOs and CSOs,9237
Association des Jeunes Islamiques pour le Développement,NGOs,National NGO,NGOs and CSOs,11201
Association des jeunes pour le développement communautaire,NGOs,National NGO,NGOs and CSOs,8643
"Association des Volontaires pour la Recuperation des Enfants Orphelins,Abandonnés,Déplacés et Mal",NGOs,National NGO,NGOs and CSOs,8641
Association Develop Horn,NGOs,,NGOs and CSOs,5283
Association du Centre de Santé de Musongati,NGOs,International NGO,NGOs and CSOs,8802
Association Elyed Eloulya pour lâ€™Aide des Necessiteux et la Protection des Enfants,NGOs,,,NA
Association Elyed Eloulya pour l’Aide des Necessiteux et la Protection des Enfants,Undefined,,Other,7962
Association for Aid and Relief Japan,NGOs,International NGO,NGOs and CSOs,1486
Association for Community Development,NGOs,National NGO,NGOs and CSOs,7355
"Association for Cooperation, Interchange and Culture",NGOs,,NGOs and CSOs,2732
Association for Empowerment of Persons with Disabilities,NGOs,,NGOs and CSOs,447
Association for Environment Management and Development,NGOs,,NGOs and CSOs,726
"Association for Forests, Development and Conservation",NGOs,,NGOs and CSOs,869
Association for Gender Awareness and Human Empowerment,NGOs,,NGOs and CSOs,6848
Association for Humanitarian Development,NGOs,,NGOs and CSOs,5951
Association for Humanity Development,other,,Other,6455
Association for Integrated Rural Development,NGOs,,NGOs and CSOs,5094
Association For Mass Advancement Network,NGOs,National NGO,NGOs and CSOs,11632
Association for People's Cooperation between South and North Korea,private individual/organisation,,NGOs and CSOs,3841
Association for Promoting Social Action,NGOs,,NGOs and CSOs,5207
Association for Solidarity with Asylum Seekers and Migrants,NGOs,National NGO,NGOs and CSOs,3183
Association for the Advancement of Democratic Rights-Legal Aid,Undefined,,Other,610
Association for the Prevention of Torture,NGOs,,NGOs and CSOs,2422
"Association for Water, Applied Education and Renewable Energy",NGOs,Local NGO,NGOs and CSOs,6638
Association Francois-Xavier Bagnoud,NGOs,,NGOs and CSOs,6033
Association française pour la prévention des catastrophes naturelles,NGOs,,NGOs and CSOs,1346
Association Fraternite Universelle,private individual/organisation,,NGOs and CSOs,5176
Association Help -Tchad pour le développement,NGOs,Local NGO,NGOs and CSOs,NA
Association Help-Tchad pour le développement,NGOs,Internationally affiliated NGO,NGOs and CSOs,7063
Association Humanitaire AKAMASOA,NGOs,,NGOs and CSOs,2384
Association Idée-elles,NGOs,,NGOs and CSOs,2388
Association Internationale des Soldats de la Paix,NGOs,,NGOs and CSOs,1372
Association le Soleil dans la Main,NGOs,,,11805
Association libanaise de l'Ordre de Malte,foundations,,NGOs and CSOs,NA
Association Locale pour le Développement Intégral,NGOs,Southern International NGO,NGOs and CSOs,4273
Association LRC,Undefined,,Other,6811
Association Luxembourg Pérou,NGOs,,NGOs and CSOs,4349
Association Mamans Uzima Kalemie,NGOs,National NGO,NGOs and CSOs,9390
Association Marhama,NGOs,National NGO,NGOs and CSOs,11094
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs,,NGOs and CSOs,2236
Association Medina,NGOs,International NGO,NGOs and CSOs,1428
Association Morija,NGOs,International NGO,NGOs and CSOs,5255
Association Nabad for Development,NGOs,National NGO,NGOs and CSOs,9239
Association Nigérienne pour la Dynamisation des Initiatives Locales,NGOs,Local/National NGO,NGOs and CSOs,7135
Association Nigérienne pour le Traitement de la Délinquance et la prévention du crime,NGOs,National NGO,NGOs and CSOs,9803
Association Notre Dame de Protection,other,,Other,3083
Association of Chinese Evangelical Ministry Limited,other,,Other,36
Association of Christian Resource Organizations Serving Sudan,NGOs,Southern International NGO,NGOs and CSOs,2389
Association of Development Awareness and Motivation,NGOs,,NGOs and CSOs,6443
Association of Evangelicals in Africa,other,,Other,3950
Association of International Development Agencies,NGOs,International NGO,NGOs and CSOs,NA
Association of Medical Doctors of Asia International,NGOs,,NGOs and CSOs,3797
"Association of Professionals in Conflict Resolution and Psychosocial Support """"""""Words Help""""""""",NGOs,,,NA
Association of South-North Kang-Won Province Cooperation,other,,Other,3220
Association of Southeast Asian Nations,Other multi,,Other multi,2370
Association Persis Valais,NGOs,International NGO,NGOs and CSOs,1757
Association pour l'Action Humanitaire et le Développement Durable,NGOs,,,9611
Association pour la Coopération Technique et au Développement,NGOs,International NGO,NGOs and CSOs,214
Association pour la Promotion de la Culture,NGOs,National NGO,NGOs and CSOs,10261
Association pour la Promotion de la Famille Haïtienne,NGOs,,,11438
Association pour la protection de l'enfant de la guerre,NGOs,,NGOs and CSOs,4156
Association pour la Santé Familiale (ASF),NGOs,,NGOs and CSOs,4091
"Association pour la Solidarité, le Développement et l'Intégration Sociale",NGOs,,NGOs and CSOs,6855
Association pour le développement de M'Bres,NGOs,National NGO,NGOs and CSOs,3161
Association pour le Développement de Sila,other,,Other,783
Association pour le développement social et la sauvegarde de lâ€™environnement,NGOs,,,NA
Association pour le développement social et la sauvegarde de l’environnement,NGOs,National NGO,NGOs and CSOs,4272
Association pour le Progrès et la Défense des Droits des Femmes,other,,Other,6120
Association pour les enfants oubliés,other,,Other,4157
Association rwandaise des conseillers en traumatisme,NGOs,,NGOs and CSOs,3851
Association Rég. d'Appro. en Médicaments Essentiels,other,,Other,4833
Associazione Amici dellâ€™Oasis Togo,NGOs,,,NA
Associazione Amici dell’Oasis Togo,NGOs,International NGO,NGOs and CSOs,2902
Associazione Centro Aiuti Volontari Cooperazione Sviluppo Terzo Mondo,NGOs,International NGO,NGOs and CSOs,7077
Associazione di Cooperazione allo Sviluppo,NGOs,International NGO,NGOs and CSOs,3882
Associazione Internazionale Volontari Laici,NGOs,International NGO,NGOs and CSOs,7698
Associazione Italiana Amici di Raoul Follereau,NGOs,,NGOs and CSOs,4600
Associazione Italiana per la SolidarietÁ  tra I Popoli,NGOs,,,NA
Associazione Italiana per la Solidarietí  tra I Popoli,NGOs,International NGO,NGOs and CSOs,NA
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs,,NGOs and CSOs,2454
Associazione per la Participazione allo Svillupo,NGOs,,NGOs and CSOs,4809
Associazione SolidarietÁ  e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs,,,NA
Associazione Solidarietí  e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs,National NGO,NGOs and CSOs,NA
Associazione Volontari per il Servizio Internazionale,NGOs,International NGO,NGOs and CSOs,1871
Associação Fogo Solidário,,,,12386
Associação Saúde em Português,private individual/organisation,,,NA
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,other,,Other,5353
Aster DM Foundation,NGOs,International NGO,NGOs and CSOs,12027
ASUR - Appui aux populations déplacées,NGOs,,NGOs and CSOs,2301
Asylum Access,NGOs,,NGOs and CSOs,6149
Ata'a for Relief and Development,NGOs,National NGO,NGOs and CSOs,NA
Ataa Humanitarian Relief Association,NGOs,,,11153
ATAV - Assoc. Tsunami Aides aux Victimes,other,,Other,2985
ATDL BUKAVU,other,,Other,3336
Atfaluna Society for Deaf Children,NGOs,National NGO,NGOs and CSOs,7254
ATLAS,foundations,,NGOs and CSOs,4766
Atlas Alliance,NGOs,,NGOs and CSOs,372
Atlas Logistique,NGOs,,NGOs and CSOs,NA
Atlasalliansen,NGOs,,NGOs and CSOs,6697
Attaa Relief and Development,NGOs,,NGOs and CSOs,6975
Auranitis Life Line for development and training,NGOs,Southern International NGO,NGOs and CSOs,6792
Auschwitz-Birkenau Foundation,foundations,,NGOs and CSOs,1601
AUSTCARE - Australian Care for Refugees,NGOs,,NGOs and CSOs,1964
Australia,DAC governments,,Public Sector,4391
Australian Aid,DAC governments,,Public Sector,12
Australian Aid International,NGOs,,NGOs and CSOs,NA
Australian Community Assistance Scheme,DAC governments,,Public Sector,4722
Australian Red Cross,red cross,,RCRC,117
Australian Volunteers International,NGOs,,NGOs and CSOs,2878
Australians Care for Refugees,NGOs,,NGOs and CSOs,4723
Austrian Red Cross,red cross,,RCRC,2051
Avenir pour les orphelins au Burundi,NGOs,,NGOs and CSOs,1320
Aviation Assistance A/S,private sector corporations,,Other,23
Aviation Sans Frontieres,NGOs,,NGOs and CSOs,2893
Aviation Sans Frontieres Belgium,NGOs,,NGOs and CSOs,4460
Aviation Sans Frontieres France,NGOs,,NGOs and CSOs,1384
Avocats Sans Frontieres,NGOs,,NGOs and CSOs,3490
AVRE -Support to Victims for Emotional Recovery,other,,Other,2290
AVREO,NGOs,Local/National NGO,NGOs and CSOs,3400
Awaz Foundation Pakistan Center for Development Services,foundations,,NGOs and CSOs,6637
Aweil Relief Agency for Reintegration and Development,NGOs,,NGOs and CSOs,NA
Aweil Window of Opportunities and Development Agency,NGOs,Local/National NGO,NGOs and CSOs,5071
AWWD,NGOs,,NGOs and CSOs,4317
Ayuda en Acción,NGOs,International NGO,NGOs and CSOs,1883
"Ayuda, Intercambio y Desarrollo",NGOs,International NGO,NGOs and CSOs,6845
AYUUB Organization,NGOs,National NGO,NGOs and CSOs,2925
Azat Foundation,NGOs,,NGOs and CSOs,6335
